epdcase,component,location,label,period,val,unit
max,electricity,importer,Elec. Price (Importer),2030,100,EUR/MWh
strong,electricity,importer,Elec. Price (Importer),2030,90,EUR/MWh
medium,electricity,importer,Elec. Price (Importer),2030,70,EUR/MWh
weak,electricity,importer,Elec. Price (Importer),2030,50,EUR/MWh
zero,electricity,importer,Elec. Price (Importer),2030,40,EUR/MWh
max,electricity,importer,Elec. Price (Importer),2040,100,EUR/MWh
strong,electricity,importer,Elec. Price (Importer),2040,90,EUR/MWh
medium,electricity,importer,Elec. Price (Importer),2040,70,EUR/MWh
weak,electricity,importer,Elec. Price (Importer),2040,50,EUR/MWh
zero,electricity,importer,Elec. Price (Importer),2040,40,EUR/MWh
max,electricity,exporter,Elec. Price (Exporter),2030,15,EUR/MWh
strong,electricity,exporter,Elec. Price (Exporter),2030,20,EUR/MWh
medium,electricity,exporter,Elec. Price (Exporter),2030,30,EUR/MWh
weak,electricity,exporter,Elec. Price (Exporter),2030,35,EUR/MWh
zero,electricity,exporter,Elec. Price (Exporter),2030,40,EUR/MWh
max,electricity,exporter,Elec. Price (Exporter),2040,5,EUR/MWh
strong,electricity,exporter,Elec. Price (Exporter),2040,10,EUR/MWh
medium,electricity,exporter,Elec. Price (Exporter),2040,20,EUR/MWh
weak,electricity,exporter,Elec. Price (Exporter),2040,30,EUR/MWh
zero,electricity,exporter,Elec. Price (Exporter),2040,35,EUR/MWh
